id,english,japanese,romanji,type,category,format,level
1,dog,犬,inu,n,animal,,N5
2,cat,猫,neko,n,animal,,N3
3,friend,友達,tomodachi,n,,,N3
4,go,行く,iku,v,,godan,N5
5,teacher,先生,sensei,n,job,,N5
6,father,父親,chichioya,n,family,,N4
7,bear,くま,kuma,n,animal,,H
8,apple,りんご,ringo,n,fruit,,H
9,today,今日,kyō,,,,N5
10,movie,映画,eiga,n,,,N4
11,movie theater,映画館,eigakan,n,,,N4
12,watch ,見る,miru,v,,ichidan,N5
13,play,遊ぶ,asobu,v,,godan,N3
14,you,あなた,anata,,,,H
15,I,私,watashi,,,,N5
16,eat,食べる,taberu,v,,ichidan,N5
17,horse,馬,uma,n,animal,,N3
18,large,大きい,ookii,adj,,I,N5
19,write,書く,kaku,v,,godan,N5
20,book,本,hon,n,,,N5
21,park,公園,kōen,n,place,,N3
22,tiger,虎,tora,n,animal,,N1
23,wake up,起きる ,okiru,v,,ichidan,N4
24,juice,ジュース,jūsu,n,,,K
25,pink,ピンク,pinku,adj,color,,K
26,read,読む,yomu,v,,godan,N5
27,honey,蜂蜜 ,hachimitsu,n,food,,N1
28,bread,パン,pan,n,food,,K
29,younger sister,妹,imōto,n,family,,N4
30,mother,母親,hahaoya,n,family,,N4
31,please,ください,kudasai,,,,H
32,green,緑,midori,adj,color,,N2
33,blue,青,ao,adj,color,,N4
34,red,赤,aka,adj,color,,N4
35,yellow,黄色,kiiro,adj,color,,N2
36,white,白,shiro,adj,color,,N5
37,black,黒,kuro,adj,color,,N4
38,grey,灰色,haiiro,adj,color,,N2
39,brown,茶色,chairo,adj,color,,N4
40,orange,オレンジ,orenji,adj,color,,K
41,purple,紫,murasaki,adj,color,,N1
42,wear,着る ,kiru,v,,ichidan,N4
43,quickly,早く,hayaku,adv,,,N4
44,lawyer,弁護士,bengoshi,n,job,,N1
45,hot,熱い,atsui,adj,,,N3
46,cold,寒い,samui,adj,,,N3
47,house/home,家,ie,n,,,N4
48,like,好き,suki,adj,feeling,NA,N5
49,pen,ペン,pen,n,object,,K
50,banana,バナナ,banana,n,fruit,,K
51,grape,グレープ,gurēpu,n,fruit,,K
52,milk,牛乳,gyūnyū,n,food,,N2
53,music,音楽,ongaku,n,,,N4
54,watermelon,スイカ,suika,n,fruit,,K
55,pizza,ピザ,piza,n,food,,K
56,convenience store,コンビニ,konbini,n,place,,K
57,hotel,ホテル,hoteru,n,place,,K
58,chicken,鶏,tori,n,animal,,N1
59,have,持っている,motte iru,v,status,,N4
60,turtle,カメ,kame,n,animal,,K
61,car,車,kuruma,n,transportation,,N5
62,buy,買う,kau,v,,godan,N5
63,sleep,寝る,neru,v,,ichidan,N3
64,tall,高い,takai,adj,,,N5
65,short,短い,mijikai,adj,,,N2
66,Vietnam,ベトナム,betonamu,n,country,,K
67,Japan,日本,nihon,n,country,,N5
68,America,アメリカ,amerika,n,country,,K
69,England,イギリス,irigisu,n,country,,K
70,Brazil,ブラジル,burajiru,n,country,,K
71,people,人,hito,n,,,N5
72,do/play,する,suru,v,,special,H
73,come,来る,kuru,v,,special,N5
74,believe,信じる,shinjiru,v,,ichidan,N3
75,teach/tell,教える,oshieru,v,,ichidan,N4
76,forget,忘れる ,wasureru,v,,ichidan,N3
77,pineapple,パイナップル,painappuru,n,fruit,,K
78,speak/talk,話す,hanasu,v,,godan,N5
79,listen/ask,聞く,kiku,v,,godan,N5
80,drink,飲む,nomu,v,,godan,N4
81,swim,泳ぐ,oyogu,v,,godan,N5
82,take/pick up,取る,toru,v,,godan,N3
83,money/cash,お金,okane,n,,,N5
84,thing,もの,mono,n,,,H
85,supermarket,スーパー,sūpā,n,place,,K
86,department store,デパート,depāto,n,place,,K
87,tomorrow,明日,ashita,,,,N4
88,tonight,今夜,kon'ya,,,,N4
89,food,食べ物,tabemono,n,,,N5
90,always/everytime,いつも,itsumo,adv,frequency,,H
91,university,大学,daigaku,n,place,,N5
92,study,勉強する,benkyō suru,v,,special,N4
93,often,よく,yoku,adv,frequency,,H
94,sometimes,時々,tokidoki,adv,frequency,,N5
95,not at all/never,全然,zenzen,adv,frequency,,N3
96,rarely/seldomly,あまり,amari,adv,degree,,H
97,restaurant,レストラン,resutoran,n,,,K
98,everyday/daily,毎日,mainichi,adv,frequency,,N5
99,tennis,テニス,tenisu,n,sport,,K
100,football,フットボール,futtobōru,n,sport,,K
101,baseball,野球,yakyū,n,sport,,N3
102,sometimes/occasionally,たまに,tamani,adv,frequency,,H
103,usually/generally,たいてい,taitei,adv,frequency,,H
104,use,使う,tsukau,v,,godan,N4
105,cook,料理,ryōri,v,,godan,N4
106,left,左,hidari,adv,direction,,N5
107,right,右,migi,adv,direction,,N5
108,behind,後ろ,ushiro,adv,direction,,N5
109,in front of,前,mae,adv,direction,,N5
110,on/above,上,ue,adv,direction,,N5
111,under,下,shita,adv,direction,,N5
112,inside,中,naka,adv,direction,,N5
113,nearby/near,近く,chikaku,adv,direction,,N5
114,next to,隣,tonari,adv,direction,,N1
115,between,あいだ,aida,adv,direction,,H
116,chair,椅子,isu,n,furniture,,N3
117,menu,メニュー,menyū,n,,,K
118,wait,待つ,matsu,v,,godan,N4
119,understand,分かる,wakaru,v,,godan,N5
120,meet,会う,au,v,,godan,N5
121,run,走る,hashiru,v,,godan,N4
122,since/from,から,kara,,,,H
123,museum,博物館,hakubutsukan,n,place,,N1
124,tree,木,ki,n,,,N5
125,furnace,炉,ro,n,,,N1
126,winter,冬,fuyu,n,season,,N5
127,summer,夏,natsu,n,season,,N5
128,spring,春,haru,n,season,,N5
129,autumn,秋,aki,n,season,,N5
130,older sister,姉,ane,n,family,,N5
131,building,建物,tatemono,n,place,,N5
132,younger brother,弟,otōto,n,family,,N5
133,older brother,兄,ani,n,family,,N5
134,passport,パスポート,pasupōto,n,travelling,,K
135,smartphone,スマホ,sumaho,n,technology,,K
136,map,地図,chizu,n,travelling,,N4
137,water,水,mizu,n,food,,N5
138,ticket,切符,kippu,n,travelling,,N2
139,subway,地下鉄,chikatetsu,n,vehicle,,N2
140,airport,空港,kūkō,n,place,,N3
141,now,今,ima,,,,N5
142,plane,飛行機,hikōki,n,transportation,,N3
143,badminton,バドミントン,badominton,n,sport,,K
144,interesting/funny,面白い,omoshiroi,adj,,I,N3
145,cute,かわいい,kawaii,adj,,I,N3
146,shoe,靴,kutsu,n,clothes,,N3
147,hat,帽子,bōshi,n,clothes,,N2
148,coat,コート,kōto,n,clothes,,K
149,pant,パンツ,pantsu,n,clothes,,K
150,shirt,シャツ,shatsu,n,clothes,,K
151,delicious/tasty,美味しい,oishii,adj,,I,N3
152,difficult,難しい,muzukashii,adj,,I,N3
153,hate/dislike,嫌い,kirai,adj,feeling,NA,N1
154,quiet,静か,shizuka,adj,,NA,N3
155,beautiful,きれい,kirei,adj,,NA,H
156,famous,有名,yūmei,adj,,NA,N4
157,convenient,便利,benri,adj,,NA,N3
158,important,大切,taisetsu,adj,,NA,N4
159,small,小さい,chīsai,adj,,I,N5
160,flower,花,hana,n,nature,,N4
161,good,いい,ii,adj,,special,H
162,busy,忙しい,isogashī,adj,,I,N3
163,happy,嬉しい,ureshī,adj,feeling,I,N1
164,cool,格好い,kakkōī,adj,,I,N3
165,many/much,多い,ooi,adj,,I,N4
166,cheap,安い,yasui,adj,,I,N4
167,expensive/tall,高い,takai,adj,,I,N5
168,new,新しい,atarashii,adj,,I,N4
169,old,古い,furui,adj,,I,N4
170,long,長い,nagai,adj,,I,N5
171,early/fast,早い,hayai,adj,,I,N4
172,last year,昨年,sakunen,,time,,N3
173,last month,先月,sengetsu,,time,,N5
174,bad,悪い,warui,adj,,I,N4
175,fish,魚,sakana,n,animal,,N4
176,few/a little,少ない,sukunai,adj,,I,N4
177,city,都市,toshi,n,place,,N3
178,town,町,machi,n,place,,N4
179,month,月,gatsu/getsu,n,time,,N5
180,important/necessary,必要,hitsuyō,adj,,NA,N3
181,word,語,go,n,language,,N5
182,good/delicious,うまい,umai,adj,,I,H
183,meat,肉,niku,n,food,,N4
184,beef,牛肉,gyūniku,n,food,,N4
185,cool/amazing,すごい,sugoi,adj,,I,H
186,near/close,近い,chikai,adj,,I,N4
187,school,学校,gakkō,n,place,,N5
188,far,遠い,tōi,adj,,I,N3
189,easy,簡単,kantan,adj,,NA,N2
190,fun,"楽しい
",tanoshii,adj,,I,N4
191,nice/kind,優しい,yasashii,adj,,I,N3
192,scary,怖い,kowai,adj,,I,N3
193,spider,蜘蛛,kumo,n,animal,,N1
194,boring,つまらない,tsumaranai,adj,,I,H
195,low/short,低い,hikui,adj,,I,N2
196,bright,明るい,akarui,adj,,I,N5
197,sun,太陽,taiyō,n,nature,,N3
198,daytime,日中,nitchū,,time,,N5
199,dark,暗い,kurai,adj,,I,N3
200,live,住む,sumu,v,,ichidan,N4
201,deep,深い,fukai,adj,,I,N3
202,ocean,海,umi,n,nature,,N4
203,strong,強い,tsuyoi,adj,,I,N4
204,monday,月曜日,getsuyōbi,n,time,,N4
205,tuesday,火曜日,kayōbi,n,time,,N4
206,wednesday,水曜日,suiyōbi,n,time,,N4
207,thursday,木曜日,mokuyōbi,n,time,,N4
208,friday,金曜日,kin'yōbi,n,time,,N4
209,saturday,土曜日,doyōbi,n,time,,N4
210,sunday,日曜日,nichiyōbi,n,time,,N4
211,yesterday,昨日,kinō,,time,,N4
212,furnace,炉,ro,n,furniture,,N1
213,week,週,shū,n,,,N4
214,there is/there are,あります,arimasu,,,,H
215,laptop,ラップトップ,rappu toppu,n,technology,,K
216,tell/teach/inform,教える,oshieru,v,,ichidan,N4
217,tell,言う,iu,v,,godan,N4
218,farm,農場,nōjō,n,place,,N2
219,nurse,看護師,kangoshi,n,job,,N1
220,office worker,会社員,kaishain,n,job,,N4
221,smart/intelligent/clever,頭いい,atamaī,adj,,I,N3
222,noisy,うるさい,urusai,adj,,I,H
223,location/place,所,tokoro,n,,,N3
224,borrow,借りる,kariru,v,,ichidan,N4
225,farmer,農夫,noufu,n,job,,N2
226,lake,湖,mizūmi,n,nature,,N2
227,letter,手紙,tegami,n,,,N4
228,fly,飛ぶ,tobu,v,,godan,N3
229,pig,豚,buta,n,animal,,N1
230,wear (shoes),履く,haku,v,,godan,N1
231,until,まで,made,,,,H
232,lamp,ランプ,ranpu,n,furniture,,K
233,daughter,娘,musume,n,family,,N3
234,son,息子,musuko,n,family,,N3
235,important,重要,jūyō,n,,,N3
236,hospital,病院,byōin,n,place,,N4
237,lunch,昼ご飯,hiru gohan,n,,,N4
238,beach,浜,hama,n,place,,N1
239,duck,鴨,kamo,n,animal,,N1
240,room,部屋,heya,n,,,N3
241,connection,繋がり,tsunagari,n,,,N1
242,last night,昨晩,last night,n,time,,N3
243,story,話,hanashi,n,,,N5
244,kitchen,台所,daidokoro,n,place,,N3
245,jump,飛び上がる,tobiagaru,v,,godan,N3
246,roof,屋根,yane,n,,,N2
247,homework,宿題,shukudai,n,,,N3
248,die,死ぬ,shinu,v,,godan,N4
249,photo,写真,shashin,n,,,N4
250,game,ゲーム,gēmu,n,,,K
251,suck,吸う,suu,v,,godan,N3
252,tabacco,タバコ,tabako,n,,,K
253,Asia,アジア,ajia,n,country,,K
254,actor,俳優,haiyū,v,job,,N1
255,college teacher,大学教師,daigaku kyōshi,n,job,,N3
256,some,いくつか,ikutsuka,,,,H
257,future,将来,shōrai,,,,N2
258,visit,訪れる,otozureru,v,,ichidan,N3
259,time/when,時,toki,,,,N5
260,age/years old,歳,sai,n,,,N3
261,not ever/never,決して,kesshite,,,,N3
262,park,駐車する,park,v,,special,N2
263,wife,妻,tsuma,n,family,,N3
264,husband,夫,otto,n,family,,N3
265,garden,庭,niwa,n,place,,N3
266,stadium,スタジアム,sutajiamu,n,place,,K
267,sheep,羊,hitsuji,n,animal,,N1
268,pillow,枕,makura,n,furniture,,N1
269,key,鍵,kagi,n,,,N2
270,library,図書館,toshokan,n,,,N4
271,find,見つける,mitsukeru,v,,ichidan,N5
272,engineer,エンジニア,enjinia,n,,,K
273,fix,修理する,shūri suru,v,,special,N1
274,man,男,otoko,n,,,N5
275,bakery,ベーカリー,bēkarī,n,place,,K
276,before,前に,mae ni,,,,N5
277,English,英語,eigo,n,,,N4
278,fridge,冷蔵庫,reizōko,n,furniture,,N2
279,cheese,チーズ,chīzu,n,food,,K
280,child,子供,kodomo,n,,,N3
281,many/a lot,たくさん,takusan,,,,H
282,pond,池,ike,n,nature,,N2
283,president,社長,shachō,n,job,,N4
284,drug/medicine,薬,kusuri,n,,,N3
285,plant,植物,shokubutsu,n,nature,,N2
286,wallet,財布,saifu,n,,,N2
287,toy,玩具,omocha,n,,,N2
288,boat,船,fune,n,transportation,,N3
289,light,光,hikari,n,,,N3
290,take a bath/bathing,浴びる,abiru,v,,ichidan,N2
291,festival,祭り,matsuri,n,,,N2
292,astronaut,宇宙飛行士,uchū hikō-shi,n,job,,N1
293,piano,ピアノ,piano,n,,,K
294,violin,バイオリン,baiorin,n,,,K
295,helicopter,ヘリコプター,herikoputā,n,,,K
296,fan,団扇,uchiwa,n,furniture,,N1
297,sofa,ソファー,sofā,n,furniture,,K
298,ladder,梯子,hashigo,n,furniture,,N1
299,glass,眼鏡 ,megane,n,clothes,,N1
300,phone,電話,denwa,n,,,N5
301,principal,校長,kōchō,n,,,N5
302,sing,歌う,utau,v,,godan,N4
303,singer,歌手,kashu,n,job,,N4
304,fountain,噴水,funsui,n,furniture,,N1
305,back,背中,senaka,n,body part,,N3
306,job,医者,isha,n,job,,N4
307,shovel,シャベル,shaberu,n,,,K
308,cave,洞窟,dōkutsu,n,nature,,N1
309,uniform,制服,seifuku,n,clothes,,N3
310,hat,帽子,bōshi,n,clothes,,N2
311,church,教会,kyōkai,n,place,,N4
312,sky,空,sora,n,nature,,N4
313,giraffe,キリン,kirin,n,animal,,K
314,technology,技術,gijutsu,n,technology,,N2
315,rule,規則,kisoku,n,,,N2
316,baby/infant,幼児,yōji,n,family,,N2
317,bookshelf,本棚,hondana,n,furniture,,N1
318,carpet/rug,絨毯,jūtan,n,furniture,,N1
319,various,色々,iroiro,adj,,NA,N4
320,dream,夢,yume,n,,,N3
321,sit,座る,suwaru,v,,godan,N3
322,return/turn back,戻る,modoru,v,,godan,N3
323,firetruck,消防車,shōbōsha,n,transportation,,N2
324,box,箱,hako,n,,,N3
325,test/exam, 試験,shiken,n,,,N4
326,but,けど,kedo,,,,H
327,world,世界,sekai,n,,,N4
328,trip,旅行,ryokō,n,,,N4
329,blackboard,黒板,kokuban,n,,,N2
330,finger,指,yubi,n,body part,,N3
331,egg,卵,tamago,n,food,,N2
332,newspaper,新聞,shinbun,n,,,N4
333,bicycle,自転車,jitensha,n,transportation,,N4
334,what,何,nani,,,,N5
335,system,システム,shisutemu,n,technology,,K
336,list,覧,ran,n,,,N1
337,resource,資料,shiryō,n,,,N3
338,guideline/policy,指針,shishin,n,,,N2
339,quantity/amount,数量,sūryō,n,,,N2
340,update/renewal,更新 ,kōshin,n,technology,,N3
341,goods/product/item,品,shina,n,,,N4
342,region/area,地域,chiiki,n,,,N2
343,potato,じゃがいも,jagaimo,n,vegetable,,H
344,whale,鯨,kujira,n,animal,,N1
345,shark,サメ,same,n,animal,,K
346,blanket,毛布,mōfu,n,,,N2
347,sneeze,くしゃみをする,kushami o suru,v,,ichidan,H
348,market,市場,ichiba,n,place,,N3
349,walk,歩いて行く,aruite iku,v,,godan,N4
350,tidy up/clean,片付ける,katazukeru,v,,ichidan,N2
351,partner,パートナー ,pātonā,n,,,K
352,vending machine,自販機,jihanki,n,gadget,,N2
353,hamster,ハムスター,hamusutā,n,animal,,K
354,tractor,トラクター,torakutā,n,transportation,,K
355,birthday cake,誕生日ケーキ,tanjōbi kēki,n,,,N1
356,sword,剣,ken,n,,,N1
357,steal,盗む,nusumu,v,,godan,N3
358,villain,悪役,akuyaku,n,,,N3
359,order,注文する,chūmon suru,v,,ichidan,N4
360,swallow,飲み込む,nomikomu,v,,,N3
361,fox,キツネ,kitsune,n,animal,,K
362,be wrong/be incorrect,間違う,machigau,v,,godan,N3
363,database,データベース,dētabēsu,n,,,K
364,coconut,ココナッツ,kokonattsu,n,fruit,,K
365,coin,コイン,koin,n,,,K
366,hide,隠れる,kakureru,v,,ichidan,N1
367,magazine,雑誌,zasshi,n,,,N2
368,smoothie,スムージー,sumūjī,n,,,K
369,pigeon,鳩,hato,n,animal,,N1
370,sweet,甘い,amai,adj,,I,N2
371,holiday,休み,yasumi,n,,,N5
372,to be born,生まれる,umareru,v,,ichidan,N5
373,be useful,役に立つ,yakunitatsu,v,,godan,N4
374,north side,北側,kitagawa,n,,,N3
375,south side,南側,minamigawa,n,,,N3
376,shirt,ワイシャツ,waishatsu,n,,,K
377,dirty,汚い,kitanai,adj,,I,N2
378,electricity,電気,denki,n,,,N5
379,narrow/cramped,狭い,semai,adj,,I,N1
380,time,遠い,jikan,n,,,N3
381,put,置く,oku,v,,godan,N3
382,traffic light,信号,shingō,n,,,N3
383,road,道,michi,n,,,N4
384,cross,渡る,wataru,v,,godan,N3
385,depart/come out,出ます,demasu,v,,godan,N5
386,train,電車,densha,n,transportation,,N5
387,this year,今年,kotoshi,,time,,N5
388,air conditioning,エアコン,eakon,n,furniture,,K
389,enter,入る,hairu,v,,godan,N5
390,problem,問題,mondai,n,,,N4
391,corner,角,kado,n,,,N2
392,turn/bend,曲がる,magaru,v,,godan,N3
393,mountain,山,yama,n,nature,,N5
394,remember,覚える,oboeru,v,,ichidan,N3
395,country,国,kuni,n,,,N5
396,popularity,人気,ninki,n,,,N5
397,language,言語,gengo,n,country,,N4
398,nationality,国籍,kokuseki,n,country,,N2
399,older,年上,toshiue,adj,,,N5
400,zebra,シマウマ,shimauma,n,animal,,K
401,dolphin,イルカ,iruka,n,animal,,K
402,party,宴会,enkai,n,,,N1
403,party,パーティー,pātī,n,,,K
404,dense/strong/thick,濃い,koi,adj,,I,N2
405,birthplace,出身,shusshin,n,,,N2
406,succeed,成功する,seikō suru,v,,ichidan,N1
407,successful,成功した,seikō shita,adj,,special,N1
408,businessman,ビジネスマン,bijinesuman,n,job,,K
409,stupid,バカ,baka,adj,,NA,K
410,writer/author,作家,sakka,n,job,,N4
411,populous,人口が多い,jinkōgaōi,adj,,I,N4
412,land,土地,tochi,n,,,N4
413,wide/spacious,広い,hiroi,adj,,I,N4
414,Africa,アフリカ,afurika,n,country,,K
415,continent,大陸,tairiku,n,geography,,N4
416,planet,惑星,wakusei,n,space,,N1
417,galaxy,銀河,ginga,n,space,,N2
418,star,恒星,kōsei,n,space,,N1
419,gorilla,ゴリラ,gorira,n,,,K
420,dangerous/risky,危ない,abunai,adj,,I,N3
421,cabinet,キャビネット,kyabinetto,n,,,K
422,full,お腹がいっぱい,onaka ga ippai,adj,,special,N3
423,job/work,仕事,shigoto,n,job,,N4
424,policeman,警察官,keisatsukan,n,job,,N3
425,safe/safety,安全,anzen,adj,,NA,N3
426,mall/shopping mall,ショッピングモール,shoppingu mōru,n,location,,K
427,animal,動物,dōbutsu,n,animal,,N4
428,zoo,動物園,dōbutsuen,n,place,,N3
429,rare,珍しい,mezurashii,adj,,,N2
430,event,出来事,dekigoto,n,,,N4
431,careful,慎重,shinchō,adj,,NA,N1
432,install/equip,設置する,setchi suru,v,,ichidan,N2
433,friendly/kind/helpful,親切,shinsetsu,adj,,NA,N4
434,talk a lot/talkative,おしゃべり,oshaberi,adj,,NA,H
435,South Korea,韓国,kankoku,n,country,,N2
436,parent,両親,ryōshin,n,family,,N3
437,germany,ドイツ,doitsu,n,country,,K
438,Shiba inu,芝犬,shiba inu,n,animal,,N1
439,pure,純粋,junsui,adj,,NA,N1
440,Europe,ヨーロッパ,yōroppa,n,country,,K
441,maybe/most likely,多分,tabun,,,,N4
442,Spain,スペイン,supain,n,country,,K
443,frog,蛙,kaeru,n,animal,,N1
444,sibling,兄弟,kyōdai,n,family,,N4
445,serve/work (in a company),勤める,tsutomeru,v,,ichidan,N3
446,military/army,軍,gun,n,,,N2
447,serve,仕える,serve,v,,ichidan,N4
448,cleaning,掃除,sōji,n,,,N2
449,self-introduction,自己紹介,jikoshōkai,n,,,N1
450,article,文章,bunshō,n,,,N2
451,sister,姉妹,shimai,n,family,,N4
452,this morning,今朝,kesa,,,,N4
453,fall,降る,furu,v,,godan,N3
454,bath,風呂,furo,n,,,N1
455,weather,天気,tenki,n,weather,,N5
456,sunny,晴れ,hare,n,weather,,N3
457,cloudy,曇り,kumori,n,weather,,N2
458,rain,雨,ame,n,weather,,N5
459,snow,雪,yuki,n,weather,,N3
460,wind,風,kaze,n,weather,,N4
461,typhoon,台風,taifū,n,weather,,N4
462,cool,涼しい,suzushii,adj,weather,I,N2
463,humid/hot,"蒸し暑い	",mushiatsui,adj,weather,I,N1
464,forecast/prediction,予報,yohō,n,,,N3
465,outside,外,soto,n,,,N5
466,foreigner,外人,gaijin,n,,,N5
467,foreign country,外国,gaikoku,n,country,,N4
468,humidity,湿度,shitsudo,n,weather,,N2
469,hard to breath/stuffy,息苦しい,ikigurushii,adj,,I,N3
470,temperature,温度,ondo,n,weather,,N2
471,giant,巨大,kyodai,adj,,NA,N2
472,toward,向かう,mukau,v,,godan,N3
473,start,始める,hajimeru,v,transitive,ichidan,N4
474,make/cook,作る,tsukuru,v,,ichidan,N4
475,warm,暖かい,atatakai,adj,,I,N1
476,air,空気,kūki,n,,,N4
477,bank,銀行,ginkō,n,place,,N4
478,attack,攻撃する,kōgeki suru,v,,ichidan,N1
479,government,政府,seifu,n,,,N2
480,surface,表面,hyōmen,n,,,N3
481,freeze,凍る,kōru,v,,ichidan,N2
482,exercise/work out,運動する,undō suru,v,,ichidan,N4
483,fan/electric fan,扇風機,senpūki,n,furniture,,N1
484,fan/folding fan,扇,ōgi,n,furniture,,N1
485,old man,老人,rōjin,n,,,N3
486,weekend,週末,shūmatsu,n,,,N3
487,knight,騎士,kishi,n,,,N1
488,polish/brush,磨く,migaku,n,,,N2
489,think/consider,考える,kangaeru,v,,ichidan,N4
490,fight,戦う,tatakau,v,,ichidan,N3
491,laugh,笑う,warau,v,,godan,N3
492,kangaroo,カンガルー,kangarū,n,animal,,K
493,doll,人形,ningyō,n,,,N3
494,fall down,倒れる,taoreru,v,,ichidan,N3
495,sewage/sewer water,下水,gesui,n,,,N5
496,bamboo,竹,take,n,nature,,N2
497,panda,パンダ,panda,n,animal,,K
498,dive,潜る,moguru,v,,godan,N1
499,killer/murderer,殺人犯,satsujinhan,n,,,N3
500,something,何か,nani ka,,,,N5
501,community,コミュニティ,komyuniti,n,,,K
502,support,支える,sasaeru,v,,ichidan,N3
503,hard/solid/stiff,硬い,katai,adj,,I,N2
504,trash can,ゴミ箱,gomibako,n,,,N3
505,toilet/restroom,トイレ,toire,n,,,K
506,printer,プリンター,purintā,,machine,,K
507,elevator,エレベーター,erebētā,n,,,K
508,exit,出口,deguchi,n,,,N4
509,floor/level,階,kai,n,,,N2
510,office,事務所,jimusho,n,place,,N3
511,apologize,謝る,ayamaru,v,,godan,N1
512,stress,ストレス,sutoresu,n,,,K
513,health,健康,kenkō,n,,,N1
514,simultaneous,同時,dōji,n,,,N4
515,receive/accept,受ける,ukeru,v,,ichidan,N3
516,next,次,tsugi,,,,N3
517,ride/get on,乗る,noru,v,,godan,N3
518,finish,終わる,owaru,v,,godan,N4
519,some,幾つか,ikutsuka,,,,N3
520,dangerous,危険,kiken,adj,,NA,N3
521,situation,状態,jōtai,n,,,N1
522,bloom,咲く,saku,v,,godan,N2
523,cherry blossom,桜,sakura,n,flower,,N1
