id,jp,en,type,counter
1,書店,bookstore,n,6
3,愛,love/romance,n,8
5,気をつける,to be careful,v,1
2,読む,to read,v,10
4,ヘア,hair (katakana),n,9
6,美しい,beautiful,adj,6
40,オレンジ,orange,adj,1
901,無駄になる,to be wasted,v,1
1598,電池,battery,n,1
711,事件,incident,n,1
796,植える,plant,v,1
1412,魔法,magic,n,1
5,先生,teacher,n,1
928,行う,perform/carry out,v,1
1942,緊張,tension/nervousness,n,1
1931,穀物,greain/sweat/cereal,n,1
900,無駄にする,waste (time),v,1
414,アフリカ,Africa,n,2
1854,きのこ,mushroom,n,1
1287,キャベツ,cabbage,n,1
643,パスタ,pasta,n,1
1908,ベタベタ,sticky,adj,1
214,あります,there is/there are,,2
1542,ガラス,grass,n,1
232,ランプ,lamp,n,1
1873,バター,butter,n,1
638,ミネラル,mineral,n,1
1284,ヨット,yatch,n,1
1149,パズル,puzzle,n,1
1951,グループ,group,n,1
1803,タブレット,tablet,n,1
1239,コンテスト,contest,n,2
1291,リラックス,relax,n,1
1761,ぬいぐるみ,stuffed toy,n,1
361,キツネ,fox,n,1
647,バレーボール,volleyball,n,1
388,エアコン,air conditioning,n,1
185,すごい,cool/amazing,adj,1
1289,スキー,skiing,n,1
1508,テント,tent,n,1
1912,広告,ad/advertisement,n,1
1209,初めて,beginning/first time,n,1
1778,熱を測る,check someone's temperature,v,1
1231,挙げる,list,v,1
1303,飼い主,pet owner,n,1
1676,越える,cross over/pass through,v,1
794,なる,become,v,1
1330,認める,admit/confess,v,1
1279,売り切れる,sell out,v,1
696,バー,bar,n,1
1158,セール,sale,n,1
864,電話番号,phone number,n,3
1428,個人的,personal,adj,1
844,屠殺する,butcher,v,1
1555,ホラー,horror,n,1
416,惑星,planet,n,1
1772,嵐,storm/tempest,n,1
1662,立てる,set up/establish/make (plan),v,1
1299,自信がある,be confident,v,1
489,考える,think/consider,v,1
1065,質問,question,n,1
1614,自慢 する,brag/show off,v,1
630,叔父,uncle,n,2
1300,証明,proof,n,1
1680,苦手,weak point/weak,adj,2
191,優しい,nice/kind,adj,1
857,塗る,paint/coat/spread,v,1
234,息子,son,n,1
1392,実際に,actually,adv,1
1312,零,zero,n,1
1344,上司,boss/superior,n,1
1846,巻き込む,involve,v,1
33,青,blue,adj,1
895,溢れる,spill/overflow,v,1
687,女王,queen,n,1
1245,バレエ,ballet,n,1
367,雑誌,magazine,n,1
1271,畳む,fold (clothes),v,1
574,出る,leave/exit,v,1
1818,メキシコ,Mexico,n,1
1565,水族館,aquarium,n,2
1393,ニュース,news,n,1
50,バナナ,banana,n,1
1632,厚い,thick,adj,1
62,買う,buy,v,1
1748,結構,splendid/nice/wonderful,adj,1
1007,フクロウ,owl,n,1
1376,決める,decide,v,1
941,特別,special,n,1
1384,母国,homeland/home country,n,1
1192,理事,director,n,2
520,危険,dangerous,adj,3
1121,招待する,invite,v,1
507,エレベーター,elevator,n,2
493,人形,doll,n,1
1140,閉める,close,v,1
603,郵便局,post office,n,1
1601,クレイジー,crazy,adj,1
142,飛行機,plane,n,1
479,政府,government,n,1
1261,手,hand,n,1
845,イルカ,dolphin,n,1
290,浴びる,take a bath/bathing,v,1
1677,物語,tale/story/legend,n,1
649,メール,email,n,1
57,ホテル,hotel,n,1
148,コート,coat,n,1
592,活,life,n,1
542,腕,arm,n,1
1644,別れる,break up/split/separate,v,1
559,氷,ice,n,1
1504,バーベキュー,barbecue,n,1
366,隠れる,hide,v,1
1343,攻撃,attack,n,1
1122,お茶,green tea,n,1
163,嬉しい,happy,adj,1
466,外人,foreigner,n,1
1173,調べる,investigate,v,1
1108,習う,learn,v,1
1688,もらう,receive,v,1
753,味噌汁,miso soup,n,1
1405,立つ,stand,v,1
1071,孵す,hatch/incubate,v,1
258,訪れる,visit,v,1
1094,結婚式,wedding,n,1
1048,チョコレート,chocolate,n,1
1311,割る,divide,v,1
10,映画,movie,n,1
1898,引き出し,drawer,n,1
1879,お腹がすいている,hungry,v,1
760,気,air,n,1
1464,満足,satisfaction,n,1
916,家事,housework/chores,n,1
890,通る,go through/pass,v,1
1320,商品,product,n,1
175,魚,fish,n,1
1815,列,row/line/column,n,1
1160,小説,novel/story,n,1
1223,代表,representative,n,1
371,休み,holiday,n,1
1855,上着,coat/tunic/jacket,n,1
1,犬,dog,n,1
132,弟,younger brother,n,1
456,晴れ,sunny,n,1
73,来る,come,v,1
1113,決断,decision,n,1
94,時々,sometimes,adv,1
1175,入場料,admission fee,n,1
109,前,in front of,adv,1
1699,更新,update/renewal,n,2
482,運動する,exercise/work out,v,2
1370,小学校,elementary school,n,1
927,易い,easy,adj,1
1865,南東,southeast,n,1
1570,気持ち,feeling/sensation,n,1
186,近い,near/close,adj,1
128,春,spring,n,1
514,同時,simultaneous,n,1
233,娘,daughter,n,1
866,番,number,n,1
494,倒れる,fall down,v,1
981,家庭,family/home,n,1
453,降る,fall,v,1
248,死ぬ,die,v,1
146,靴,shoe,n,1
205,火曜日,tuesday,n,1
198,日中,daytime,,1
2062,件,subject/matter,n,1
174,悪い,bad,adj,1
157,便利,convenient,adj,1
695,電子レンジ,microwave,n,1
39,茶色,brown,adj,1
1202,立ち上げる,launch,v,1
701,多分,maybe/probably,,1
236,病院,hospital,n,1
952,別,by/per,,1
822,種,seed,n,1
1645,中止,cancel/discontinuation,n,2
1168,重さ,weight,n,1
374,北側,north side,n,1
2082,関係,relationship/connection,n,1
88,今夜,tonight,,1
82,取る,take/pick up,v,1
531,石,stone,n,1
476,空気,air,n,1
886,東,East,n,1
1000,姪,niece,n,1
422,お腹がいっぱい,full,adj,2
1103,警備員,security guard,n,1
392,曲がる,turn/bend,v,1
821,貧しい,poor (money),adj,1
1294,心配する,worry,n,1
2135,苦労,hardship/trouble,n,1
1758,なでる,pet (an animal),v,1
95,全然,not at all/never,adv,1
2097,ゲームセンター,game center,n,1
1135,コーナー,corner/section,n,1
2044,レーダー,radar,n,1
751,埋める,bury/cover,v,1
2057,わざと,intentionally/on purpose,,1
1293,心配,worry/anxiety,n,1
92,勉強する,study,v,1
325,試験,test/exam,n,1
164,格好い,cool,adj,1
359,注文する,order,v,1
2128,風景,scenery/landscape,n,1
652,サボる,skip (school),v,1
2102,メディアセンター,media center,n,1
2119,演劇,drama/play/theater,n,1
1522,生きる,live/exist,v,1
368,スムージー,smoothie,n,1
1974,立ち上がる,rise/stand up,v,1
1897,ダイニング,dining/dining room,n,1
745,完璧,perfect/flawless,adj,1
2037,上手い,skillful/successful/well,adj,1
1516,辛い,spicy,adj,1
1693,国際的,international,adj,1
1886,似合う,suit/match,n,1
1349,科学,science,n,1
1587,レシート,receipt,n,1
508,出口,exit,n,1
1082,国境,border,n,1
2021,マヨネーズ,mayonaise,n,1
465,外,outside,n,1
1201,自分,myself/by my own,n,1
1184,試合,game/match,n,1
